Date,CPI GT,S&P 500 GT,VIX GT,Unemployment Rate GT,Interest Rate GT
2020-06-03,8.0,31.0,23.0,54.0,29.0
2020-06-04,8.0,31.0,23.0,54.0,29.0
2020-06-05,8.0,31.0,23.0,54.0,29.0
2020-06-08,16.0,37.0,39.0,54.0,32.0
2020-06-09,16.0,37.0,39.0,54.0,32.0
2020-06-10,16.0,37.0,39.0,54.0,32.0
2020-06-11,16.0,37.0,39.0,54.0,32.0
2020-06-12,16.0,37.0,39.0,54.0,32.0
2020-06-15,9.0,32.0,34.0,51.0,31.0
2020-06-16,9.0,32.0,34.0,51.0,31.0
2020-06-17,9.0,32.0,34.0,51.0,31.0
2020-06-18,9.0,32.0,34.0,51.0,31.0
2020-06-19,9.0,32.0,34.0,51.0,31.0
2020-06-22,9.0,35.0,28.0,53.0,33.0
2020-06-23,9.0,35.0,28.0,53.0,33.0
2020-06-24,9.0,35.0,28.0,53.0,33.0
2020-06-25,9.0,35.0,28.0,53.0,33.0
2020-06-26,9.0,35.0,28.0,53.0,33.0
2020-06-29,8.0,27.0,20.0,54.0,29.0
2020-06-30,8.0,27.0,20.0,54.0,29.0
2020-07-01,8.0,27.0,20.0,54.0,29.0
2020-07-02,8.0,27.0,20.0,54.0,29.0
2020-07-03,8.0,27.0,20.0,54.0,29.0
2020-07-06,10.0,28.0,25.0,54.0,31.0
2020-07-07,10.0,28.0,25.0,54.0,31.0
2020-07-08,10.0,28.0,25.0,54.0,31.0
2020-07-09,10.0,28.0,25.0,54.0,31.0
2020-07-10,10.0,28.0,25.0,54.0,31.0
2020-07-13,9.0,30.0,27.0,51.0,31.0
2020-07-14,9.0,30.0,27.0,51.0,31.0
2020-07-15,9.0,30.0,27.0,51.0,31.0
2020-07-16,9.0,30.0,27.0,51.0,31.0
2020-07-17,9.0,30.0,27.0,51.0,31.0
2020-07-20,9.0,27.0,26.0,56.0,31.0
2020-07-21,9.0,27.0,26.0,56.0,31.0
2020-07-22,9.0,27.0,26.0,56.0,31.0
2020-07-23,9.0,27.0,26.0,56.0,31.0
2020-07-24,9.0,27.0,26.0,56.0,31.0
2020-07-27,10.0,28.0,21.0,57.0,27.0
2020-07-28,10.0,28.0,21.0,57.0,27.0
