Company,Date,Negative,Neutral,Positive,Row_Tweets_Count
AEP,2020-06-02,0.0,0.8,0.2,11.0
AEP,2020-06-03,0.0,1.0,0.0,4.0
AEP,2020-06-04,0.0,1.0,0.0,4.0
AEP,2020-06-05,0.0,0.8,0.2,14.0
AEP,2020-06-08,0.14285714285714285,0.8571428571428571,0.0,9.0
AEP,2020-06-09,0.0,1.0,0.0,11.0
AEP,2020-06-10,0.0,1.0,0.0,13.0
AEP,2020-06-11,0.0,0.75,0.25,7.0
AEP,2020-06-12,0.0,0.8,0.2,8.0
AEP,2020-06-15,0.0,1.0,0.0,10.0
AEP,2020-06-16,0.0,1.0,0.0,16.0
AEP,2020-06-17,0.0,0.75,0.25,12.0
AEP,2020-06-18,0.0,1.0,0.0,4.0
AEP,2020-06-19,0.0,0.6666666666666666,0.3333333333333333,10.0
AEP,2020-06-22,0.0,1.0,0.0,4.0
AEP,2020-06-23,0.0,1.0,0.0,11.0
AEP,2020-06-24,0.0,0.75,0.25,15.0
AEP,2020-06-25,0.0,1.0,0.0,9.0
AEP,2020-06-26,0.2,0.6,0.2,7.0
AEP,2020-06-29,0.0,0.75,0.25,14.0
AEP,2020-06-30,0.0,1.0,0.0,8.0
AEP,2020-07-01,0.0,0.25,0.75,22.0
AEP,2020-07-02,0.18181818181818185,0.6363636363636364,0.18181818181818185,17.0
AEP,2020-07-06,0.0,0.5,0.5,8.0
AEP,2020-07-07,0.0,1.0,0.0,6.0
AEP,2020-07-08,0.0,0.6666666666666666,0.3333333333333333,13.0
AEP,2020-07-09,0.0,0.8571428571428571,0.14285714285714285,17.0
AEP,2020-07-10,0.0,1.0,0.0,11.0
AEP,2020-07-13,0.0,0.5,0.5,11.0
AEP,2020-07-14,0.0,0.625,0.375,15.0
AEP,2020-07-15,0.0,0.3333333333333333,0.6666666666666666,11.0
AEP,2020-07-16,0.0,0.8,0.2,12.0
AEP,2020-07-17,0.0,0.8333333333333334,0.16666666666666666,19.0
AEP,2020-07-20,0.0,1.0,0.0,18.0
AEP,2020-07-21,0.0,0.9428571428571428,0.057142857142857134,39.0
AEP,2020-07-22,0.0,0.7,0.3,18.0
AEP,2020-07-23,0.0,1.0,0.0,20.0
AEP,2020-07-24,0.0,1.0,0.0,19.0
AEP,2020-07-27,0.19444444444444445,0.7777777777777778,0.027777777777777776,72.0
AEP,2020-07-28,0.10714285714285714,0.8214285714285714,0.07142857142857142,43.0
AEP,2020-07-29,0.0,1.0,0.0,14.0
AEP,2020-07-30,0.0,1.0,0.0,8.0
AEP,2020-07-31,0.0,1.0,0.0,15.0
AEP,2020-08-03,0.5,0.5,0.0,6.0
AEP,2020-08-04,0.0,0.6666666666666666,0.3333333333333333,8.0
AEP,2020-08-05,0.0,0.5833333333333334,0.4166666666666667,29.0
AEP,2020-08-06,0.13333333333333333,0.8333333333333334,0.03333333333333333,48.0
AEP,2020-08-07,0.5,0.5,0.0,10.0
AEP,2020-08-10,0.0,1.0,0.0,6.0
AEP,2020-08-11,0.0,0.7777777777777778,0.2222222222222222,16.0
AEP,2020-08-12,0.0,0.75,0.25,14.0
AEP,2020-08-13,1.0,0.0,0.0,5.0
AEP,2020-08-14,0.0,1.0,0.0,18.0
AEP,2020-08-17,0.0,1.0,0.0,14.0
AEP,2020-08-18,0.2,0.6,0.2,13.0
AEP,2020-08-19,0.2222222222222222,0.7777777777777778,0.0,12.0
AEP,2020-08-20,0.0,1.0,0.0,7.0
AEP,2020-08-21,0.0,1.0,0.0,13.0
AEP,2020-08-24,0.0,1.0,0.0,14.0
AEP,2020-08-25,0.0,1.0,0.0,11.0
AEP,2020-08-26,0.3333333333333333,0.6666666666666666,0.0,5.0
AEP,2020-08-27,0.0,1.0,0.0,5.0
AEP,2020-08-28,0.125,0.875,0.0,12.0
AEP,2020-08-31,0.25,0.5,0.25,12.0
AEP,2020-09-01,0.0,0.8,0.2,12.0
AEP,2020-09-02,0.0,1.0,0.0,17.0
AEP,2020-09-03,0.0,1.0,0.0,15.0
AEP,2020-09-04,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0
AEP,2020-09-08,0.2,0.8,0.0,10.0
AEP,2020-09-09,0.25,0.75,0.0,9.0
AEP,2020-09-10,0.0,0.8,0.2,8.0
AEP,2020-09-11,0.5,0.5,0.0,5.0
AEP,2020-09-14,0.0,0.8333333333333334,0.16666666666666666,11.0
AEP,2020-09-15,0.08333333333333333,0.9166666666666666,0.0,19.0
AEP,2020-09-16,0.07692307692307693,0.9230769230769232,0.0,18.0
AEP,2020-09-17,0.2,0.8,0.0,14.0
AEP,2020-09-18,0.0,0.8333333333333334,0.16666666666666666,13.0
AEP,2020-09-21,0.14285714285714285,0.8571428571428571,0.0,9.0
AEP,2020-09-22,0.0,0.8571428571428571,0.14285714285714285,10.0
AEP,2020-09-23,0.0,1.0,0.0,5.0
AEP,2020-09-24,0.0,0.625,0.375,19.0
AEP,2020-09-25,0.0,1.0,0.0,7.0
AEP,2020-09-28,0.0,1.0,0.0,15.0
AEP,2020-09-29,0.3333333333333333,0.6666666666666666,0.0,6.0
AEP,2020-09-30,0.0,1.0,0.0,20.0
AEP,2020-10-01,0.0,0.9,0.1,16.0
AEP,2020-10-02,0.05882352941176471,0.8823529411764706,0.05882352941176471,28.0
