Company,Date,Negative,Neutral,Positive,Row_Tweets_Count
HON,2020-06-02,0.0,0.5,0.5,10
HON,2020-06-03,0.0,1.0,0.0,16
HON,2020-06-04,0.0,1.0,0.0,9
HON,2020-06-05,0.0,0.8,0.2,13
HON,2020-06-08,0.0,1.0,0.0,13
HON,2020-06-09,0.0,0.6,0.4,20
HON,2020-06-10,0.0,0.9090909090909092,0.09090909090909093,16
HON,2020-06-11,0.0,0.9230769230769232,0.07692307692307693,24
HON,2020-06-12,0.0,0.6666666666666666,0.3333333333333333,17
HON,2020-06-15,0.0,0.8888888888888888,0.1111111111111111,20
HON,2020-06-16,0.08333333333333333,0.8333333333333334,0.08333333333333333,26
HON,2020-06-17,0.0,1.0,0.0,13
HON,2020-06-18,0.0,0.8888888888888888,0.1111111111111111,18
HON,2020-06-19,0.0,1.0,0.0,23
HON,2020-06-22,0.0,1.0,0.0,15
HON,2020-06-23,0.0,0.9375,0.0625,26
HON,2020-06-24,0.0,0.8125,0.1875,31
HON,2020-06-25,0.06666666666666668,0.9333333333333332,0.0,32
HON,2020-06-26,0.0,0.9,0.1,21
HON,2020-06-29,0.0,0.9444444444444444,0.05555555555555555,35
HON,2020-06-30,0.0,0.9375,0.0625,30
HON,2020-07-01,0.0,1.0,0.0,17
HON,2020-07-02,0.0,1.0,0.0,17
HON,2020-07-06,0.0,1.0,0.0,20
HON,2020-07-07,0.0,0.875,0.125,25
HON,2020-07-08,0.05882352941176471,0.8823529411764706,0.05882352941176471,25
HON,2020-07-09,0.0,0.9473684210526316,0.05263157894736842,29
HON,2020-07-10,0.08333333333333333,0.8333333333333334,0.08333333333333333,25
HON,2020-07-13,0.0,1.0,0.0,23
HON,2020-07-14,0.0,0.8275862068965517,0.1724137931034483,47
HON,2020-07-15,0.0,0.9285714285714286,0.07142857142857142,33
HON,2020-07-16,0.0,0.9565217391304348,0.043478260869565216,40
HON,2020-07-17,0.0,1.0,0.0,53
HON,2020-07-20,0.0,1.0,0.0,46
HON,2020-07-21,0.0,0.9285714285714286,0.07142857142857142,36
HON,2020-07-22,0.0,0.9230769230769232,0.07692307692307693,24
HON,2020-07-23,0.0,0.9230769230769232,0.07692307692307693,38
HON,2020-07-24,0.040816326530612235,0.8979591836734694,0.061224489795918366,134
HON,2020-07-27,0.014084507042253518,0.9859154929577464,0.0,90
HON,2020-07-28,0.0,0.9189189189189191,0.08108108108108109,57
HON,2020-07-29,0.0,0.9767441860465116,0.02325581395348837,62
HON,2020-07-30,0.0,1.0,0.0,19
HON,2020-07-31,0.07142857142857142,0.8571428571428571,0.07142857142857142,20
HON,2020-08-03,0.0,0.75,0.25,13
HON,2020-08-04,0.0,1.0,0.0,18
HON,2020-08-05,0.0,0.875,0.125,21
HON,2020-08-06,0.0,1.0,0.0,26
HON,2020-08-07,0.0,1.0,0.0,21
HON,2020-08-10,0.0,0.8666666666666667,0.13333333333333333,41
HON,2020-08-11,0.0,1.0,0.0,37
HON,2020-08-12,0.0,0.7777777777777778,0.2222222222222222,18
HON,2020-08-13,0.0,1.0,0.0,10
HON,2020-08-14,0.05882352941176471,0.8823529411764706,0.05882352941176471,29
HON,2020-08-17,0.0,0.9090909090909092,0.09090909090909093,18
HON,2020-08-18,0.09090909090909093,0.7272727272727273,0.18181818181818185,16
HON,2020-08-19,0.0,0.9,0.1,18
HON,2020-08-20,0.0,1.0,0.0,22
HON,2020-08-21,0.0,0.8333333333333334,0.16666666666666666,12
HON,2020-08-24,0.05555555555555555,0.7777777777777778,0.16666666666666666,150
HON,2020-08-25,0.0,0.6060606060606061,0.3939393939393939,250
HON,2020-08-26,0.10526315789473684,0.7368421052631579,0.15789473684210525,68
HON,2020-08-27,0.0,0.6,0.4,32
HON,2020-08-28,0.1,0.9,0.0,28
HON,2020-08-31,0.0,0.8333333333333334,0.16666666666666666,68
HON,2020-09-01,0.0,1.0,0.0,26
HON,2020-09-02,0.0,0.9166666666666666,0.08333333333333333,31
HON,2020-09-03,0.1,0.9,0.0,26
HON,2020-09-04,0.0,0.75,0.25,38
HON,2020-09-08,0.0,1.0,0.0,16
HON,2020-09-09,0.16666666666666666,0.6666666666666666,0.16666666666666666,19
HON,2020-09-10,0.07692307692307693,0.5384615384615384,0.38461538461538464,27
HON,2020-09-11,0.0,0.9,0.1,19
HON,2020-09-14,0.0,0.8,0.2,18
HON,2020-09-15,0.0,1.0,0.0,17
HON,2020-09-16,0.0,1.0,0.0,12
HON,2020-09-17,0.1,0.9,0.0,19
HON,2020-09-18,0.14285714285714285,0.8571428571428571,0.0,18
HON,2020-09-21,0.07142857142857142,0.9285714285714286,0.0,21
HON,2020-09-22,0.0,0.875,0.125,21
HON,2020-09-23,0.0,1.0,0.0,10
HON,2020-09-24,0.0,1.0,0.0,19
HON,2020-09-25,0.0,0.7941176470588235,0.2058823529411765,43
HON,2020-09-28,0.0,0.875,0.125,15
HON,2020-09-29,0.0,0.8888888888888888,0.1111111111111111,28
HON,2020-09-30,0.0,1.0,0.0,23
HON,2020-10-01,0.14285714285714285,0.8571428571428571,0.0,22
HON,2020-10-02,0.0,0.9,0.1,23
HON,2020-10-05,0.0,1.0,0.0,17
HON,2020-10-06,0.0,0.875,0.125,19
HON,2020-10-07,0.0,0.9142857142857144,0.08571428571428573,54
HON,2020-10-08,0.07692307692307693,0.8461538461538461,0.07692307692307693,24
HON,2020-10-09,0.0,1.0,0.0,19
HON,2020-10-12,0.0,1.0,0.0,22
HON,2020-10-13,0.0,0.9230769230769232,0.07692307692307693,25
HON,2020-10-14,0.0,0.8333333333333334,0.16666666666666666,38
HON,2020-10-15,0.0,0.9285714285714286,0.07142857142857142,32
HON,2020-10-16,0.0,0.8666666666666667,0.13333333333333333,29
HON,2020-10-19,0.0,0.625,0.375,20
HON,2020-10-20,0.0,0.8181818181818182,0.18181818181818185,21
HON,2020-10-21,0.0,0.8333333333333334,0.16666666666666666,14
HON,2020-10-22,0.05555555555555555,0.9444444444444444,0.0,30
HON,2020-10-23,0.05263157894736842,0.8947368421052632,0.05263157894736842,45
HON,2020-10-26,0.0,1.0,0.0,39
HON,2020-10-27,0.0,1.0,0.0,29
HON,2020-10-28,0.0,0.7142857142857143,0.2857142857142857,12
HON,2020-10-29,0.0,0.8636363636363636,0.13636363636363635,34
HON,2020-10-30,0.04651162790697674,0.8372093023255814,0.11627906976744184,99
HON,2020-11-02,0.0,0.75,0.25,47
HON,2020-11-03,0.0,0.8461538461538461,0.15384615384615385,31
HON,2020-11-04,0.07692307692307693,0.8076923076923077,0.1153846153846154,50
HON,2020-11-05,0.0,0.9411764705882352,0.05882352941176471,32
HON,2020-11-06,0.0,0.9090909090909092,0.09090909090909093,25
HON,2020-11-09,0.0,1.0,0.0,22
HON,2020-11-10,0.0,0.9523809523809524,0.047619047619047616,44
HON,2020-11-11,0.0,0.8181818181818182,0.18181818181818185,31
HON,2020-11-12,0.0,0.8888888888888888,0.1111111111111111,23
HON,2020-11-13,0.3333333333333333,0.6666666666666666,0.0,14
HON,2020-11-16,0.0,0.9,0.1,24
HON,2020-11-17,0.0,0.8181818181818182,0.18181818181818185,27
HON,2020-11-18,0.054054054054054064,0.8648648648648649,0.08108108108108109,63
HON,2020-11-19,0.06666666666666668,0.7333333333333333,0.2,27
HON,2020-11-20,0.13333333333333333,0.8,0.06666666666666668,25
HON,2020-11-23,0.09090909090909093,0.9090909090909092,0.0,26
HON,2020-11-24,0.0,0.5714285714285714,0.42857142857142855,23
HON,2020-11-25,0.0,0.6666666666666666,0.3333333333333333,20
HON,2020-11-27,0.0,0.8571428571428571,0.14285714285714285,11
HON,2020-11-30,0.0,0.6666666666666666,0.3333333333333333,32
HON,2020-12-01,0.2222222222222222,0.4444444444444444,0.3333333333333333,25
HON,2020-12-02,0.07142857142857142,0.8571428571428571,0.07142857142857142,25
HON,2020-12-03,0.0,0.7142857142857143,0.2857142857142857,21
HON,2020-12-04,0.0,0.8076923076923077,0.19230769230769232,40
HON,2020-12-07,0.0625,0.8125,0.125,21
HON,2020-12-08,0.16666666666666666,0.6666666666666666,0.16666666666666666,18
HON,2020-12-09,0.0,1.0,0.0,23
HON,2020-12-10,0.0,1.0,0.0,21
HON,2020-12-11,0.0625,0.8125,0.125,23
HON,2020-12-14,0.0,0.8571428571428571,0.14285714285714285,22
HON,2020-12-15,0.0,0.85,0.15,25
HON,2020-12-16,0.0,0.7777777777777778,0.2222222222222222,18
HON,2020-12-17,0.0,0.8571428571428571,0.14285714285714285,20
HON,2020-12-18,0.0,1.0,0.0,14
HON,2020-12-21,0.0,0.875,0.125,14
HON,2020-12-22,0.0,0.7931034482758621,0.20689655172413796,34
HON,2020-12-23,0.0,0.7777777777777778,0.2222222222222222,30
HON,2020-12-24,0.0,1.0,0.0,7
HON,2020-12-28,0.0,1.0,0.0,10
HON,2020-12-29,0.0,1.0,0.0,13
HON,2020-12-30,0.2,0.6,0.2,19
HON,2020-12-31,0.0,1.0,0.0,13
HON,2021-01-04,0.0,0.0,1.0,9
HON,2021-01-05,0.0,1.0,0.0,12
HON,2021-01-06,0.047619047619047616,0.9523809523809524,0.0,42
HON,2021-01-07,0.0,0.9285714285714286,0.07142857142857142,27
HON,2021-01-08,0.0,0.75,0.25,13
HON,2021-01-11,0.0,0.8333333333333334,0.16666666666666666,17
HON,2021-01-12,0.0,1.0,0.0,21
HON,2021-01-13,0.25,0.75,0.0,19
HON,2021-01-14,0.1,0.8,0.1,19
HON,2021-01-15,0.04,0.84,0.12,36
HON,2021-01-19,0.0,0.75,0.25,13
HON,2021-01-20,0.0,0.875,0.125,23
HON,2021-01-21,0.0,1.0,0.0,18
HON,2021-01-22,0.0,1.0,0.0,25
HON,2021-01-25,0.0,0.8461538461538461,0.15384615384615385,33
HON,2021-01-26,0.0,1.0,0.0,27
HON,2021-01-27,0.0,0.9,0.1,18
HON,2021-01-28,0.0,0.8461538461538461,0.15384615384615385,28
HON,2021-01-29,0.04651162790697674,0.8372093023255814,0.11627906976744184,102
HON,2021-02-01,0.0,0.9655172413793104,0.03448275862068965,40
HON,2021-02-02,0.0,0.5833333333333334,0.4166666666666667,26
HON,2021-02-03,0.0,0.8461538461538461,0.15384615384615385,23
HON,2021-02-04,0.0,0.8571428571428571,0.14285714285714285,16
HON,2021-02-05,0.0,1.0,0.0,8
HON,2021-02-08,0.0,0.7142857142857143,0.2857142857142857,12
HON,2021-02-09,0.0,0.875,0.125,30
HON,2021-02-10,0.0,1.0,0.0,26
HON,2021-02-11,0.09090909090909093,0.8181818181818182,0.09090909090909093,16
HON,2021-02-12,0.047619047619047616,0.9523809523809524,0.0,33
HON,2021-02-16,0.0,0.9285714285714286,0.07142857142857142,23
HON,2021-02-17,0.0,0.8,0.2,13
HON,2021-02-18,0.0,1.0,0.0,10
HON,2021-02-19,0.14285714285714285,0.7142857142857143,0.14285714285714285,14
HON,2021-02-22,0.0,0.8,0.2,19
HON,2021-02-23,0.0,0.875,0.125,31
HON,2021-02-24,0.0,0.65,0.35,43
HON,2021-02-25,0.0,0.7058823529411765,0.29411764705882354,27
HON,2021-02-26,0.0,1.0,0.0,16
HON,2021-03-01,0.0,1.0,0.0,16
HON,2021-03-02,0.0,1.0,0.0,31
HON,2021-03-03,0.0,1.0,0.0,20
HON,2021-03-04,0.0,0.75,0.25,10
HON,2021-03-05,0.0,1.0,0.0,11
HON,2021-03-08,0.0,0.8461538461538461,0.15384615384615385,25
HON,2021-03-09,0.07692307692307693,0.6153846153846154,0.3076923076923077,26
HON,2021-03-10,0.05555555555555555,0.7777777777777778,0.16666666666666666,33
HON,2021-03-11,0.0625,0.625,0.3125,30
HON,2021-03-12,0.0,0.8461538461538461,0.15384615384615385,24
HON,2021-03-15,0.05555555555555555,0.6666666666666666,0.2777777777777778,33
HON,2021-03-16,0.0,0.6,0.4,27
HON,2021-03-17,0.0,0.8,0.2,14
HON,2021-03-18,0.0,0.75,0.25,36
HON,2021-03-19,0.0,0.8571428571428571,0.14285714285714285,13
HON,2021-03-22,0.14285714285714285,0.7142857142857143,0.14285714285714285,13
HON,2021-03-23,0.0,1.0,0.0,14
HON,2021-03-24,0.0,0.8,0.2,22
HON,2021-03-25,0.125,0.875,0.0,17
HON,2021-03-26,0.08333333333333333,0.6666666666666666,0.25,26
HON,2021-03-29,0.05882352941176471,0.7647058823529411,0.17647058823529413,40
HON,2021-03-30,0.0,0.8571428571428571,0.14285714285714285,15
HON,2021-03-31,0.0,1.0,0.0,17
HON,2021-04-01,0.0,1.0,0.0,19
HON,2021-04-05,0.25,0.5,0.25,13
HON,2021-04-06,0.0,0.9230769230769232,0.07692307692307693,28
HON,2021-04-07,0.07692307692307693,0.7692307692307693,0.15384615384615385,16
HON,2021-04-08,0.0,0.9545454545454546,0.045454545454545456,31
HON,2021-04-09,0.015873015873015872,0.7619047619047619,0.2222222222222222,139
HON,2021-04-12,0.0,0.8888888888888888,0.1111111111111111,48
HON,2021-04-13,0.05,0.85,0.1,56
HON,2021-04-14,0.05555555555555555,0.8333333333333334,0.1111111111111111,51
HON,2021-04-15,0.0,1.0,0.0,25
HON,2021-04-16,0.0,1.0,0.0,29
HON,2021-04-19,0.0,0.7,0.3,30
HON,2021-04-20,0.0,0.9166666666666666,0.08333333333333333,20
HON,2021-04-21,0.0,0.6666666666666666,0.3333333333333333,22
HON,2021-04-22,0.0,0.8125,0.1875,41
HON,2021-04-23,0.0875,0.8,0.1125,177
HON,2021-04-26,0.022727272727272728,0.7954545454545454,0.18181818181818185,69
HON,2021-04-27,0.0,0.9310344827586208,0.06896551724137931,47
HON,2021-04-28,0.0,0.95,0.05,27
HON,2021-04-29,0.0,1.0,0.0,18
HON,2021-04-30,0.0,0.9090909090909092,0.09090909090909093,43
HON,2021-05-03,0.0,1.0,0.0,22
HON,2021-05-04,0.2857142857142857,0.7142857142857143,0.0,21
HON,2021-05-05,0.14285714285714285,0.8571428571428571,0.0,20
HON,2021-05-06,0.375,0.625,0.0,25
HON,2021-05-07,0.0,1.0,0.0,15
HON,2021-05-10,0.0,0.7333333333333333,0.26666666666666666,35
HON,2021-05-11,0.0,0.75,0.25,18
HON,2021-05-12,0.0,1.0,0.0,30
HON,2021-05-13,0.1,0.8,0.1,25
HON,2021-05-14,0.0,1.0,0.0,17
HON,2021-05-17,0.0,1.0,0.0,9
HON,2021-05-18,0.0,1.0,0.0,7
HON,2021-05-19,0.0,0.9,0.1,20
HON,2021-05-20,0.16666666666666666,0.6666666666666666,0.16666666666666666,17
HON,2021-05-21,0.0,0.875,0.125,19
HON,2021-05-24,0.0,1.0,0.0,9
HON,2021-05-25,0.04,0.96,0.0,41
HON,2021-05-26,0.0,1.0,0.0,14
HON,2021-05-27,0.26666666666666666,0.6666666666666666,0.06666666666666668,38
HON,2021-05-28,0.0,0.7,0.3,18
HON,2021-06-01,0.0,1.0,0.0,18
HON,2021-06-02,0.0,0.8,0.2,18
HON,2021-06-03,0.0,1.0,0.0,8
HON,2021-06-04,0.0,1.0,0.0,11
HON,2021-06-07,0.0,1.0,0.0,11
HON,2021-06-08,0.0,0.7272727272727273,0.2727272727272727,36
HON,2021-06-09,0.0,0.8333333333333334,0.16666666666666666,17
HON,2021-06-10,0.16666666666666666,0.6666666666666666,0.16666666666666666,21
HON,2021-06-11,0.0,0.6666666666666666,0.3333333333333333,17
HON,2021-06-14,0.0,0.8181818181818182,0.18181818181818185,13
HON,2021-06-15,0.3333333333333333,0.6666666666666666,0.0,6
HON,2021-06-16,0.0,0.75,0.25,14
HON,2021-06-17,0.0,1.0,0.0,8
HON,2021-06-18,0.0,1.0,0.0,9
HON,2021-06-21,0.0,1.0,0.0,28
HON,2021-06-22,0.4,0.6,0.0,19
HON,2021-06-23,0.0,1.0,0.0,15
HON,2021-06-24,0.125,0.625,0.25,30
HON,2021-06-25,0.125,0.75,0.125,19
HON,2021-06-28,0.0,1.0,0.0,3
HON,2021-06-29,0.0,1.0,0.0,10
HON,2021-06-30,0.0,0.8333333333333334,0.16666666666666666,16
HON,2021-07-01,0.0,1.0,0.0,8
HON,2021-07-02,0.0,0.7777777777777778,0.2222222222222222,19
HON,2021-07-06,0.0,0.9090909090909092,0.09090909090909093,25
HON,2021-07-07,0.0,0.7,0.3,19
HON,2021-07-08,0.0,0.9,0.1,15
HON,2021-07-09,0.0625,0.875,0.0625,34
HON,2021-07-12,0.0,0.75,0.25,11
HON,2021-07-13,0.0,0.9166666666666666,0.08333333333333333,18
HON,2021-07-14,0.0,0.9333333333333332,0.06666666666666668,34
HON,2021-07-15,0.0,0.84,0.16,56
HON,2021-07-16,0.0,0.8,0.2,36
HON,2021-07-19,0.0,0.9166666666666666,0.08333333333333333,34
HON,2021-07-20,0.07142857142857142,0.7857142857142857,0.14285714285714285,31
HON,2021-07-21,0.0,0.75,0.25,40
HON,2021-07-22,0.028571428571428567,0.7428571428571429,0.22857142857142854,63
HON,2021-07-23,0.037037037037037035,0.7160493827160493,0.2469135802469136,138
HON,2021-07-26,0.0,0.9736842105263158,0.02631578947368421,50
HON,2021-07-27,0.0,0.9,0.1,35
HON,2021-07-28,0.0,0.8888888888888888,0.1111111111111111,29
HON,2021-07-29,0.0,0.7142857142857143,0.2857142857142857,28
HON,2021-07-30,0.0,0.6842105263157895,0.3157894736842105,27
HON,2021-08-02,0.05,0.85,0.1,45
HON,2021-08-03,0.0,0.8333333333333334,0.16666666666666666,28
HON,2021-08-04,0.0,0.7368421052631579,0.2631578947368421,31
HON,2021-08-05,0.0,0.8571428571428571,0.14285714285714285,13
HON,2021-08-06,0.0,0.9285714285714286,0.07142857142857142,21
HON,2021-08-09,0.0,1.0,0.0,26
HON,2021-08-10,0.0,0.6666666666666666,0.3333333333333333,21
HON,2021-08-11,0.0,0.75,0.25,20
HON,2021-08-12,0.07692307692307693,0.6923076923076923,0.2307692307692308,31
HON,2021-08-13,0.0,0.8,0.2,22
HON,2021-08-16,0.0,0.8461538461538461,0.15384615384615385,23
HON,2021-08-17,0.0,1.0,0.0,32
HON,2021-08-18,0.0,0.9,0.1,19
HON,2021-08-19,0.0,0.8,0.2,16
